group_id,paddle_id,length_in,width_in,depth_in,spines,insects,damage,location
1,1,11.5,9.5,0.5,Y,Y,None,Fourth
1,2,11.5,7.8,0.5,Y,Y,None,Sixth
1,3,12,8.3,0.5,Y,Y,None,Fifth
1,4,9.5,6.5,0.5,Y,Y,None,Fifth
1,5,12,8,0.5,Y,Y,Most,Fourth
1,6,14,11,1,Y,N,Some,Third
1,7,15,9.5,1,Y,Y,Some,Fourth
1,8,13.5,9,1,Y,N,None,Fourth
1,9,11.5,7,0.3,Y,Y,None,Eigth
1,10,12,9.5,0.3,,Y,None,Sixth
2,1,13,10,0.5,Y,N,None,Fifth
2,2,12.2,6,0.4,Y,N,Some,Fourth
2,3,10.3,7.5,0.2,Y,N,None,Fourth
2,4,10,6.8,0.1,Y,N,None,Fourth
2,5,12.7,10.1,0.2,Y,N,None,Fifth
2,6,13.8,9.5,0.5,Y,N,Most,Fourth
2,7,13.5,9,0.4,Y,N,None,Fourth
2,8,10.4,7.6,0.4,Y,N,None,Fifth
2,9,9,6.2,0.3,Y,N,None,Fifth
2,10,11,6.8,0.3,Y,N,None,Fifth
3,1,9,6,1,Y,N,None,Second
3,2,9,9,1,Y,N,Some,First
3,3,10.5,7,0.75,Y,N,Some,First
3,4,12,10,2,Y,N,Some,First
3,5,8,6,0.25,Y,N,None,Second
3,6,10,6,0.5,Y,N,None,Second
3,7,9,6,0.75,Y,N,None,First
3,8,NA,NA,NA,NA,NA,NA,NA
3,9,NA,NA,NA,NA,NA,NA,NA
3,10,NA,NA,NA,NA,NA,NA,NA
4,1,11.75,8,0.5,Y,N,None,Fifth
4,2,12,10,0.6,Y,N,None,Fifth
4,3,14.9,12,0.8,Y,N,None,Fourth
4,4,9,6.25,0.75,Y,N,Some,Second
4,5,7,12,2,Y,Y,Some,First
4,6,8,5,0.3,Y,N,Most,Sixth
4,7,13,9.5,1.2,Y,N,Most,Second
4,8,11.5,8.75,1,Y,Y,Some,Fourth
4,9,10,7.5,0.3,Y,N,Some,Third
4,10,13,10,0.5,Y,N,Some,Fifth
5,1,10,5.1,0.2,N,N,Some,Fifth
5,2,11,7,0.3,N,N,Some,Fourth
5,3,11.5,6.6,0.6,N,N,Some,Third
5,4,9,6.1,0.2,N,N,None,Sixth
5,5,10.7,5.9,0.3,N,Y,Some,Sixth
5,6,5.6,4,0.3,N,N,Most,Fourth
5,7,10.2,6.1,0.2,N,N,None,Sixth
5,8,8.5,4.3,0.3,N,N,Most,Fourth
5,9,11.4,5.9,0.2,N,N,None,Fifth
5,10,12.6,9.1,0.4,N,N,None,Third
