group_id,paddle_id,length_in,width_in,depth_in,spines,insects,damage,location,species,size
1,5,1,1,0.5,N,N,Most,Sixth,Opuntia ficus-indica,Large
1,4,2,1,0.3,N,N,None,Eigth,Opuntia ficus-indica,Large
3,7,2,1,0.125,Y,N,None,Sixth,Opuntia ficus-indica,Large
2,9,2,3,0.5,N,N,All,Seventh,Opuntia ficus-indica,Large
7,9,2.5,2.5,0.5,Y,Y,None,Fifth,Opuntia santa-rita,Large
3,8,3.5,2.5,0.25,N,Y,All,Third,Opuntia ficus-indica,Large
7,4,4,3.75,0.5,Y,Y,Some,Sixth,Opuntia santa-rita,Large
7,5,4,3.8,0.25,Y,Y,None,Fifth,Opuntia santa-rita,Large
7,8,4,3.8,0.5,Y,Y,Some,Fifth,Opuntia santa-rita,Large
7,10,4,3.5,0.25,Y,Y,Most,First,Opuntia santa-rita,Large
7,2,4.25,3.5,0.25,Y,Y,None,Seventh,Opuntia santa-rita,Large
8,6,4.5,5,0.5,Y,N,Some,Third,Opuntia engelemannii,Medium
7,1,4.5,4.5,0.25,Y,Y,Some,Seventh,Opuntia santa-rita,Large
8,2,4.6,4,0.5,Y,N,None,Second,Opuntia engelemannii,Medium
1,3,5,1.5,0.5,N,N,None,Fourth,Opuntia ficus-indica,Large
7,6,5,4,0.25,Y,Y,None,Third,Opuntia santa-rita,Large
7,7,5,4.5,0.5,Y,Y,Some,Sixth,Opuntia santa-rita,Large
1,1,5.5,2.5,0.5,N,N,None,Eigth,Opuntia ficus-indica,Large
11,9,5.5,3,0.5,Y,Y,Some,Ninth,Opuntia engelemannii,Small
8,7,6,4.5,0.3,Y,Y,None,Third,Opuntia engelemannii,Medium
2,8,6,3,0.75,N,N,Some,Second,Opuntia ficus-indica,Large
8,5,6.5,5,0.3,Y,N,None,Fourth,Opuntia engelemannii,Medium
1,10,7,4,0.5,N,N,None,Fifth,Opuntia ficus-indica,Large
3,10,7,5.5,1,N,Y,All,First,Opuntia ficus-indica,Large
6,7,7,3,0.375,N,N,None,Sixth,Opuntia ficus-indica,Large
9,8,7,4.5,0.75,Y,Y,Most,Third,Opuntia engelemannii,Small
2,10,7.25,4.25,0.5,N,N,None,Second,Opuntia ficus-indica,Large
8,1,7.5,5,0.45,Y,Y,Some,Third,Opuntia engelemannii,Medium
8,3,7.5,6,0.3,Y,Y,Most,Third,Opuntia engelemannii,Medium
4,7,7.5,5,0.5,N,N,Most,Third,Opuntia ficus-indica,Large
7,3,7.5,5,0.75,Y,Y,Some,Fourth,Opuntia santa-rita,Large
3,5,7.5,3.5,0.5,N,Y,None,Fifth,Opuntia ficus-indica,Large
3,9,7.5,3.25,0.25,N,Y,None,Seventh,Opuntia ficus-indica,Large
8,8,7.6,5,0.4,Y,Y,Some,Third,Opuntia engelemannii,Medium
