Group,BeadColor,Distance_in,Transect_m
1,Green,2.5,10
1,Green,7,10
1,Green,77,10
1,Green,37,10
1,Green,10,10
1,Green,35.25,10
1,Green,44,10
1,Green,71,10
1,Green,73,10
1,Green,29.5,10
1,Green,67,10
1,Green,13,10
1,Green,56,10
1,Green,38,10
1,Green,45,10
1,Green,125,10
1,Green,99,10
1,Green,5,10
1,Green,16,10
1,Green,25.5,10
1,Green,66,10
1,Green,58,10
1,Green,16,10
1,Clear,0,10
1,Clear,32,10
1,Clear,44,10
1,Clear,6,10
1,Clear,44,10
1,Clear,25,10
1,Clear,77.5,10
1,Clear,6,10
1,Clear,13,10
1,Clear,32,10
1,Clear,80.5,10
1,Clear,69.5,10
1,Clear,54,10
1,Clear,80.5,10
1,Clear,11,10
1,Clear,32,10
1,Clear,27,10
1,Clear,15,10
1,Clear,78,10
1,Clear,20,10
1,Clear,35,10
1,Clear,13,10
1,Clear,28,10
1,Clear,43,10
1,Clear,34,10
1,Clear,70,10
1,Clear,44,10
1,Clear,2,10
1,Clear,6,10
1,Clear,15.5,10
1,Clear,18,10
2,Green,8.75,10
2,Green,16,10
2,Green,9,10
2,Green,6.5,10
2,Green,12.5,10
2,Green,1,10
2,Green,36,10
2,Green,83,10
2,Green,13.5,10
2,Green,14.5,10
2,Green,9.75,10
2,Green,22.75,10
2,Green,31,10
2,Green,45,10
2,Green,10.5,10
2,Green,40,10
2,Green,39.5,10
2,Green,29.5,10
2,Green,19.5,10
2,Clear,8.5,10
2,Clear,9,10
2,Clear,9.75,10
2,Clear,9.25,10
2,Clear,16.5,10
2,Clear,12.5,10
2,Clear,3.5,10
2,Clear,35.3,10
2,Clear,56,10
2,Clear,57.5,10
2,Clear,58,10
2,Clear,41,10
2,Clear,0.25,10
2,Clear,19,10
3,Clear,4.5,10
3,Clear,23.5,10
3,Clear,5,10
3,Clear,30.5,10
3,Clear,39,10
3,Clear,44,10
3,Clear,9.5,10
3,Clear,31.5,10
3,Clear,34,10
3,Clear,9,10
3,Clear,32,10
3,Clear,0.5,10
3,Clear,4,10
3,Clear,14,10
3,Clear,17,10
3,Green,2.5,10
3,Green,51,10
3,Green,9.5,10
3,Green,34,10
3,Green,52,10
3,Green,1,10
3,Green,37,10
3,Green,54,10
3,Green,81,10
3,Green,6,10
3,Green,17.5,10
3,Green,68,10
3,Green,56,10
4,Green,9,10
4,Green,6,10
4,Green,24.5,10
4,Green,12,10
4,Green,30.5,10
4,Green,54,10
4,Green,13,10
4,Green,42,10
4,Green,42.5,10
4,Green,32.7,10
4,Green,3.5,10
4,Green,9.2,10
4,Green,3,10
4,Green,21,10
4,Clear,49,10
4,Clear,62,10
4,Clear,48,10
4,Clear,8,10
4,Clear,10,10
4,Clear,9,10
4,Clear,17,10
4,Clear,69,10
4,Clear,52,10
4,Clear,69,10
4,Clear,70,10
4,Clear,78,10
4,Clear,12,10
4,Clear,77,10
4,Clear,81,10
4,Clear,54,10
4,Clear,94,10
4,Clear,104,10
4,Clear,42,10
4,Clear,57,10
4,Clear,33,10
4,Clear,42,10
4,Clear,0.5,10
4,Clear,41,10
4,Clear,67,10
5,Green,3,10
5,Green,71,10
5,Green,7,10
5,Green,36,10
5,Green,54,10
5,Green,31,10
5,Green,43,10
5,Green,80,10
5,Green,72,10
5,Green,34,10
5,Green,92,10
5,Green,64,10
5,Green,2,10
5,Green,31,10
5,Green,87,10
5,Green,73,10
5,Green,6,10
5,Green,13,10
5,Green,16,10
5,Green,26,10
5,Green,65,10
5,Green,58,10
5,Clear,5,10
5,Clear,24,10
5,Clear,32,10
5,Clear,39,10
5,Clear,52,10
5,Clear,43,10
5,Clear,10,10
5,Clear,29,10
5,Clear,14,10
5,Clear,74,10
5,Clear,34,10
5,Clear,9,10
5,Clear,9,10
5,Clear,38,10
5,Clear,33,10
5,Clear,35,10
5,Clear,1,10
5,Clear,72,10
5,Clear,34,10
5,Clear,17,10
6,Green,8,10
6,Green,6,10
6,Green,24.5,10
6,Green,29.75,10
6,Green,3,10
6,Green,15.5,10
6,Green,10,10
6,Green,16.5,10
6,Green,23,10
6,Green,25.5,10
6,Green,33,10
6,Green,9.25,10
6,Green,38,10
6,Green,36,10
6,Green,30,10
6,Green,30.5,10
6,Green,38,10
6,Green,21.25,10
6,Clear,1,10
6,Clear,24.5,10
6,Clear,6,10
6,Clear,45,10
6,Clear,10,10
6,Clear,32,10
6,Clear,15,10
6,Clear,20,10
6,Clear,35,10
6,Clear,18,10
6,Clear,37,10
6,Clear,15,10
6,Clear,67,10
7,Clear,50,10
7,Clear,8,10
7,Clear,9,10
7,Clear,18,10
7,Clear,52,10
7,Clear,69,10
7,Clear,13,10
7,Clear,105,10
7,Clear,81,10
7,Clear,94,10
7,Clear,16,10
7,Clear,42,10
7,Clear,53,10
7,Clear,58,10
7,Clear,43,10
7,Clear,1,10
7,Clear,67,10
7,Clear,19,10
7,Green,3,10
7,Green,20,10
7,Green,7,10
7,Green,78,10
7,Green,11,10
7,Green,64,10
7,Green,2,10
7,Green,5,10
7,Green,86,10
7,Green,87,10
7,Green,68,10
7,Green,66,10
7,Green,15,10
7,Green,25,10
7,Green,15,10
7,Green,39,10
8,Clear,32,10
8,Clear,6,10
8,Clear,25,10
8,Clear,13,10
8,Clear,9,10
8,Clear,52,10
8,Clear,74,10
8,Clear,15,10
8,Clear,27.5,10
8,Clear,8.5,10
8,Clear,18.5,10
8,Clear,39,10
8,Clear,34,10
8,Clear,19.5,10
8,Clear,5,10
