File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note,
01120001.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:10:52,Ok,false,,0,,0,false,false,false,false,true,,
01120002.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:11:25,Ok,false,,0,,0,false,false,false,false,true,,
01120003.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:11:59,Ok,false,,0,,0,false,false,false,false,true,,
01120004.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:12:32,Ok,false,,0,,0,false,false,false,false,true,,
01120005.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:13:05,Ok,false,,0,,0,false,false,false,false,true,,
01120006.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:13:38,Ok,false,,0,,0,false,false,false,false,true,,
01120007.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:14:11,Ok,false,,0,,0,false,false,false,false,true,,
01120008.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:14:45,Ok,false,,0,,0,false,false,false,false,true,,
01120009.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:15:18,Ok,false,,0,,0,false,false,false,false,true,,
01120010.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:15:52,Ok,false,,0,,0,false,false,false,false,true,,
01120011.JPG,,SC10_12JanTo27Jan,12-Jan-2021,10:16:26,Ok,false,,0,,0,false,false,false,false,true,,
01140012.JPG,,SC10_12JanTo27Jan,14-Jan-2021,14:08:42,Ok,true,,0,,0,false,false,false,false,false,,
01150013.JPG,,SC10_12JanTo27Jan,15-Jan-2021,09:13:21,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01160014.JPG,,SC10_12JanTo27Jan,16-Jan-2021,08:22:29,Ok,false,Canis latrans,2,,0,false,false,false,false,false,,
01180015.JPG,,SC10_12JanTo27Jan,18-Jan-2021,12:02:02,Ok,false,Canis familiaris,1,,0,false,false,false,false,false,,
01180016.JPG,,SC10_12JanTo27Jan,18-Jan-2021,13:57:26,Ok,true,,0,,0,false,false,false,false,false,,
01180017.JPG,,SC10_12JanTo27Jan,18-Jan-2021,20:05:50,Ok,true,,0,,0,false,false,false,false,false,,
01190018.JPG,,SC10_12JanTo27Jan,19-Jan-2021,13:15:16,Ok,true,,0,,0,false,false,false,false,false,,
01190019.JPG,,SC10_12JanTo27Jan,19-Jan-2021,13:34:24,Ok,true,,0,,0,false,false,false,false,false,,
01190020.JPG,,SC10_12JanTo27Jan,19-Jan-2021,13:48:07,Ok,true,,0,,0,false,false,false,false,false,,
01190021.JPG,,SC10_12JanTo27Jan,19-Jan-2021,13:51:37,Ok,true,,0,,0,false,false,false,false,false,,
01190022.JPG,,SC10_12JanTo27Jan,19-Jan-2021,13:55:23,Ok,true,,0,,0,false,false,false,false,false,,
01190023.JPG,,SC10_12JanTo27Jan,19-Jan-2021,13:56:11,Ok,true,,0,,0,false,false,false,false,false,,
01190024.JPG,,SC10_12JanTo27Jan,19-Jan-2021,14:01:15,Ok,true,,0,,0,false,false,false,false,false,,
01190025.JPG,,SC10_12JanTo27Jan,19-Jan-2021,14:11:17,Ok,true,,0,,0,false,false,false,false,false,,
01190026.JPG,,SC10_12JanTo27Jan,19-Jan-2021,14:12:29,Ok,true,,0,,0,false,false,false,false,false,,
01190027.JPG,,SC10_12JanTo27Jan,19-Jan-2021,16:56:03,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
