File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note,
03060001.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:50:31,Ok,true,true,,0,,0,false,false,false,false,false,,
03060002.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:51:03,Ok,true,true,,0,,0,false,false,false,false,false,,
03060003.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:51:36,Ok,true,true,,0,,0,false,false,false,false,false,,
03060004.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:52:21,Ok,true,true,,0,,0,false,false,false,false,false,,
03060005.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:52:59,Ok,true,true,,0,,0,false,false,false,false,false,,
03060006.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:54:03,Ok,true,true,,0,,0,false,false,false,false,false,,
03060007.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:54:37,Ok,true,true,,0,,0,false,false,false,false,false,,
03060008.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:55:16,Ok,true,true,,0,,0,false,false,false,false,false,,
03060009.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:55:51,Ok,true,true,,0,,0,false,false,false,false,false,,
03060010.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:56:26,Ok,true,true,,0,,0,false,false,false,false,false,,
03060011.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:56:58,Ok,true,true,,0,,0,false,false,false,false,false,,
03060012.JPG,,SC14_6MarTo24Apr,06-Mar-2021,12:57:31,Ok,true,true,,0,,0,false,false,false,false,false,,
03070013.JPG,,SC14_6MarTo24Apr,07-Mar-2021,13:50:05,Ok,true,true,,0,,0,false,false,false,false,false,,
03080014.JPG,,SC14_6MarTo24Apr,08-Mar-2021,14:59:17,Ok,true,false,,0,,0,false,false,false,false,false,,
03080015.JPG,,SC14_6MarTo24Apr,08-Mar-2021,15:01:01,Ok,true,false,,0,,0,false,false,false,false,false,,
03080016.JPG,,SC14_6MarTo24Apr,08-Mar-2021,15:10:04,Ok,true,false,,0,,0,false,false,false,false,false,,
03080017.JPG,,SC14_6MarTo24Apr,08-Mar-2021,15:47:34,Ok,true,false,,0,,0,false,false,false,false,false,,
03090018.JPG,,SC14_6MarTo24Apr,09-Mar-2021,08:57:23,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,,
03090019.JPG,,SC14_6MarTo24Apr,09-Mar-2021,08:58:15,Ok,true,false,,0,,0,false,false,false,false,false,,
03090020.JPG,,SC14_6MarTo24Apr,09-Mar-2021,12:16:49,Ok,true,false,,0,,0,false,false,false,false,false,,
03090021.JPG,,SC14_6MarTo24Apr,09-Mar-2021,12:30:53,Ok,true,false,,0,,0,false,false,false,false,false,,
03090022.JPG,,SC14_6MarTo24Apr,09-Mar-2021,13:51:33,Ok,true,false,,0,,0,false,false,false,false,false,,
03090023.JPG,,SC14_6MarTo24Apr,09-Mar-2021,13:53:02,Ok,true,false,,0,,0,false,false,false,false,false,,
03090024.JPG,,SC14_6MarTo24Apr,09-Mar-2021,13:53:56,Ok,true,false,,0,,0,false,false,false,false,false,,
03090025.JPG,,SC14_6MarTo24Apr,09-Mar-2021,13:54:30,Ok,true,false,,0,,0,false,false,false,false,false,,
03090026.JPG,,SC14_6MarTo24Apr,09-Mar-2021,15:15:05,Ok,true,false,,0,,0,false,false,false,false,false,,
03090027.JPG,,SC14_6MarTo24Apr,09-Mar-2021,16:51:55,Ok,true,false,,0,,0,false,false,false,false,false,,
03110028.JPG,,SC14_6MarTo24Apr,11-Mar-2021,22:42:44,Ok,false,false,Pecari tajacu,2,,0,false,false,false,false,false,,
03120029.JPG,,SC14_6MarTo24Apr,12-Mar-2021,13:32:02,Ok,true,false,,0,,0,false,false,false,false,false,,
03120030.JPG,,SC14_6MarTo24Apr,12-Mar-2021,13:57:12,Ok,true,false,,0,,0,false,false,false,false,false,,
03120031.JPG,,SC14_6MarTo24Apr,12-Mar-2021,14:23:37,Ok,true,false,,0,,0,false,false,false,false,false,,
03130032.JPG,,SC14_6MarTo24Apr,13-Mar-2021,14:49:44,Ok,false,false,Ardea herodias,1,,0,false,false,false,false,false,,
03140033.JPG,,SC14_6MarTo24Apr,14-Mar-2021,14:46:09,Ok,false,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140034.JPG,,SC14_6MarTo24Apr,14-Mar-2021,14:52:41,Ok,false,false,Canis familiaris,2,,0,false,false,false,false,false,,
03140035.JPG,,SC14_6MarTo24Apr,14-Mar-2021,14:53:39,Ok,true,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140036.JPG,,SC14_6MarTo24Apr,14-Mar-2021,14:54:15,Ok,false,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140037.JPG,,SC14_6MarTo24Apr,14-Mar-2021,14:54:57,Ok,true,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140038.JPG,,SC14_6MarTo24Apr,14-Mar-2021,14:55:39,Ok,false,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140039.JPG,,SC14_6MarTo24Apr,14-Mar-2021,15:05:46,Ok,false,false,Canis familiaris,2,,0,false,false,false,false,false,,
03140040.JPG,,SC14_6MarTo24Apr,14-Mar-2021,15:07:01,Ok,false,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140041.JPG,,SC14_6MarTo24Apr,14-Mar-2021,15:07:51,Ok,true,false,Canis familiaris,1,,0,false,false,false,false,false,,
03140042.JPG,,SC14_6MarTo24Apr,14-Mar-2021,15:08:46,Ok,false,false,Canis familiaris,1,,0,false,false,false,false,false,,
03150043.JPG,,SC14_6MarTo24Apr,15-Mar-2021,17:13:49,Ok,true,false,,0,,0,false,false,false,false,false,,
03150044.JPG,,SC14_6MarTo24Apr,15-Mar-2021,17:46:08,Ok,true,false,,0,,0,false,false,false,false,false,,
03150045.JPG,,SC14_6MarTo24Apr,15-Mar-2021,17:47:37,Ok,true,false,,0,,0,false,false,false,false,false,,
