File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note
06130006.JPG,,SC15_13JunTo11Jul,13-Jun-21,17:24:58,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06140007.JPG,,SC15_13JunTo11Jul,14-Jun-21,5:26:44,Ok,FALSE,FALSE,Odocoileus hemionus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06140008.JPG,,SC15_13JunTo11Jul,14-Jun-21,19:45:17,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06140009.JPG,,SC15_13JunTo11Jul,14-Jun-21,20:00:37,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06150010.JPG,,SC15_13JunTo11Jul,15-Jun-21,4:31:37,Ok,FALSE,FALSE,Unknown,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06150011.JPG,,SC15_13JunTo11Jul,15-Jun-21,7:30:07,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06150012.JPG,,SC15_13JunTo11Jul,15-Jun-21,11:02:27,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06150013.JPG,,SC15_13JunTo11Jul,15-Jun-21,13:31:04,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06160014.JPG,,SC15_13JunTo11Jul,16-Jun-21,11:10:53,Ok,FALSE,FALSE,Zenaida macroura,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06160015.JPG,,SC15_13JunTo11Jul,16-Jun-21,11:12:58,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06170016.JPG,,SC15_13JunTo11Jul,17-Jun-21,10:42:15,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06170017.JPG,,SC15_13JunTo11Jul,17-Jun-21,11:58:08,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06170018.JPG,,SC15_13JunTo11Jul,17-Jun-21,12:35:37,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06170019.JPG,,SC15_13JunTo11Jul,17-Jun-21,12:46:08,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06170020.JPG,,SC15_13JunTo11Jul,17-Jun-21,15:14:51,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06180021.JPG,,SC15_13JunTo11Jul,18-Jun-21,11:02:50,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06180022.JPG,,SC15_13JunTo11Jul,18-Jun-21,12:08:11,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06190023.JPG,,SC15_13JunTo11Jul,19-Jun-21,4:49:41,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200024.JPG,,SC15_13JunTo11Jul,20-Jun-21,5:03:46,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200025.JPG,,SC15_13JunTo11Jul,20-Jun-21,10:32:10,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200026.JPG,,SC15_13JunTo11Jul,20-Jun-21,12:00:55,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200027.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:09:24,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200028.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:13:48,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200029.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:17:54,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200030.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:18:43,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200031.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:19:27,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200032.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:21:23,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200033.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:22:10,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200034.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:40:16,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200035.JPG,,SC15_13JunTo11Jul,20-Jun-21,13:46:23,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06200036.JPG,,SC15_13JunTo11Jul,20-Jun-21,15:36:14,Ok,FALSE,FALSE,Zenaida asiatica,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06210037.JPG,,SC15_13JunTo11Jul,21-Jun-21,5:34:25,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06210038.JPG,,SC15_13JunTo11Jul,21-Jun-21,13:01:35,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06230039.JPG,,SC15_13JunTo11Jul,23-Jun-21,6:59:59,Ok,FALSE,FALSE,Homo sapien,1,Canis familiaris,2,FALSE,FALSE,FALSE,FALSE,FALSE,
06230040.JPG,,SC15_13JunTo11Jul,23-Jun-21,13:01:56,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06230041.JPG,,SC15_13JunTo11Jul,23-Jun-21,13:09:08,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06240042.JPG,,SC15_13JunTo11Jul,24-Jun-21,16:59:31,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06240043.JPG,,SC15_13JunTo11Jul,24-Jun-21,21:57:56,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250044.JPG,,SC15_13JunTo11Jul,25-Jun-21,9:48:46,Ok,FALSE,FALSE,Lynx rufus,1,,0,FALSE,FALSE,FALSE,FALSE,TRUE,
06250045.JPG,,SC15_13JunTo11Jul,25-Jun-21,10:51:13,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250046.JPG,,SC15_13JunTo11Jul,25-Jun-21,11:57:29,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250047.JPG,,SC15_13JunTo11Jul,25-Jun-21,11:58:45,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250048.JPG,,SC15_13JunTo11Jul,25-Jun-21,12:01:33,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250049.JPG,,SC15_13JunTo11Jul,25-Jun-21,14:30:32,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06250050.JPG,,SC15_13JunTo11Jul,25-Jun-21,14:31:08,Ok,FALSE,FALSE,Lynx rufus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260051.JPG,,SC15_13JunTo11Jul,26-Jun-21,5:51:23,Ok,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260052.JPG,,SC15_13JunTo11Jul,26-Jun-21,9:32:57,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260053.JPG,,SC15_13JunTo11Jul,26-Jun-21,10:24:15,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06260054.JPG,,SC15_13JunTo11Jul,26-Jun-21,12:06:54,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270055.JPG,,SC15_13JunTo11Jul,27-Jun-21,4:53:08,Ok,FALSE,FALSE,Pipilo aberti,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06270056.JPG,,SC15_13JunTo11Jul,27-Jun-21,19:34:35,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280057.JPG,,SC15_13JunTo11Jul,28-Jun-21,7:32:07,Ok,FALSE,FALSE,Geococcyx californianus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280058.JPG,,SC15_13JunTo11Jul,28-Jun-21,9:39:19,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280059.JPG,,SC15_13JunTo11Jul,28-Jun-21,9:46:26,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280060.JPG,,SC15_13JunTo11Jul,28-Jun-21,9:56:13,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280061.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:07:40,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280062.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:15:54,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280063.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:20:57,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280064.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:22:52,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280065.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:31:32,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280066.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:47:26,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280067.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:49:19,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280068.JPG,,SC15_13JunTo11Jul,28-Jun-21,10:54:58,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280069.JPG,,SC15_13JunTo11Jul,28-Jun-21,11:10:09,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06280070.JPG,,SC15_13JunTo11Jul,28-Jun-21,12:43:18,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06290071.JPG,,SC15_13JunTo11Jul,29-Jun-21,6:44:38,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
06290072.JPG,,SC15_13JunTo11Jul,29-Jun-21,8:45:00,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
