File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note
03060006.JPG,,SC15_6MarTo13Jun,6-Mar-21,14:02:22,Ok,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03070007.JPG,,SC15_6MarTo13Jun,7-Mar-21,7:06:35,Ok,FALSE,FALSE,Procyon lotor,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03070008.JPG,,SC15_6MarTo13Jun,7-Mar-21,7:07:18,Ok,TRUE,FALSE,Procyon lotor,1,,0,FALSE,FALSE,FALSE,FALSE,TRUE,
03070009.JPG,,SC15_6MarTo13Jun,7-Mar-21,17:06:34,Ok,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03080010.JPG,,SC15_6MarTo13Jun,8-Mar-21,6:24:58,Ok,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03080011.JPG,,SC15_6MarTo13Jun,8-Mar-21,7:03:47,Ok,FALSE,FALSE,Canis familiaris,1,Homo sapien,1,FALSE,FALSE,FALSE,FALSE,FALSE,
03080012.JPG,,SC15_6MarTo13Jun,8-Mar-21,7:04:21,Ok,TRUE,FALSE,Canis familiaris,1,Homo sapien,1,FALSE,FALSE,FALSE,FALSE,FALSE,
03080013.JPG,,SC15_6MarTo13Jun,8-Mar-21,14:29:55,Ok,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03080014.JPG,,SC15_6MarTo13Jun,8-Mar-21,19:01:39,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03090015.JPG,,SC15_6MarTo13Jun,9-Mar-21,7:39:33,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03100016.JPG,,SC15_6MarTo13Jun,10-Mar-21,7:10:38,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03100017.JPG,,SC15_6MarTo13Jun,10-Mar-21,7:19:44,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03100018.JPG,,SC15_6MarTo13Jun,10-Mar-21,11:37:20,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03100019.JPG,,SC15_6MarTo13Jun,10-Mar-21,11:38:22,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03100020.JPG,,SC15_6MarTo13Jun,10-Mar-21,14:53:57,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03100021.JPG,,SC15_6MarTo13Jun,10-Mar-21,18:05:02,Ok,FALSE,FALSE,Canis familiaris,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03110022.JPG,,SC15_6MarTo13Jun,11-Mar-21,6:55:45,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03110023.JPG,,SC15_6MarTo13Jun,11-Mar-21,16:10:51,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03110024.JPG,,SC15_6MarTo13Jun,11-Mar-21,17:47:53,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03120025.JPG,,SC15_6MarTo13Jun,12-Mar-21,0:56:52,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03120026.JPG,,SC15_6MarTo13Jun,12-Mar-21,5:15:30,Ok,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03120027.JPG,,SC15_6MarTo13Jun,12-Mar-21,9:02:45,Ok,FALSE,FALSE,Homo sapien,1,Canis familiaris,1,FALSE,FALSE,FALSE,FALSE,FALSE,
03120028.JPG,,SC15_6MarTo13Jun,12-Mar-21,18:15:21,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03120029.JPG,,SC15_6MarTo13Jun,12-Mar-21,18:24:43,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
03130030.JPG,,SC15_6MarTo13Jun,13-Mar-21,13:31:55,Ok,FALSE,FALSE,Homo sapien,2,Canis familiaris,1,FALSE,FALSE,FALSE,FALSE,FALSE,
