File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,water,species1,species1count,species2,species2count,Outreach,Flag,Note,OHV,
01110001.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:00:15,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
01110002.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:00:46,Ok,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01110003.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:01:18,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01110004.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:01:50,Ok,TRUE,FALSE,Homo sapien,1,,0,FALSE,FALSE,,FALSE,
01110005.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:02:24,Ok,TRUE,FALSE,Homo sapien,2,,0,FALSE,FALSE,,FALSE,
01110006.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:02:56,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
01110007.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,11:03:28,Ok,TRUE,FALSE,Homo sapien,2,,0,FALSE,FALSE,,FALSE,
01110008.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,20:52:02,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,,FALSE,
01110009.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,23:17:18,Ok,FALSE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
01110010.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,11-Jan-21,23:41:37,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,,FALSE,
01120011.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,12-Jan-21,0:02:51,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,,FALSE,
01120012.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,12-Jan-21,1:47:13,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,,FALSE,
01120013.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,12-Jan-21,3:51:54,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
01120014.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,12-Jan-21,20:02:54,Ok,FALSE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
01130015.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,13-Jan-21,1:57:48,Ok,FALSE,FALSE,Canis latrans,1,,0,FALSE,FALSE,,FALSE,
01130016.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,13-Jan-21,21:15:09,Ok,FALSE,FALSE,Canis latrans,3,,0,FALSE,FALSE,,FALSE,
01140017.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,14-Jan-21,20:14:41,Ok,FALSE,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,,FALSE,
01150018.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,15-Jan-21,2:23:47,Ok,TRUE,FALSE,,0,,0,FALSE,FALSE,,FALSE,
01150019.JPG,SC4\SCR4_11JanTo6Feb,Santa Cruz Camera 4,15-Jan-21,2:51:36,Ok,FALSE,FALSE,Canis latrans,2,,0,FALSE,FALSE,,FALSE,
