File,RelativePath,Folder,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note,DateTime,
04240001.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-04-24 10:15:08,
04240002.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-04-24 10:15:41,
04240003.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-04-24 10:16:16,
04240004.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-04-24 10:16:48,
04290005.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,3,,0,false,false,false,false,false,, 2021-04-29 10:05:04,
04290006.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,3,,0,false,false,false,false,false,, 2021-04-29 10:28:34,
04290007.JPG,,SC4_24AprTo8Jul,Ok,false,false,,0,,0,false,true,false,false,false,TEP truck, 2021-04-29 11:24:23,
04290008.JPG,,SC4_24AprTo8Jul,Ok,false,false,,0,,0,false,true,false,false,false,TEP truck, 2021-04-29 11:34:46,
04290009.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida macroura,1,,0,false,false,false,false,false,, 2021-04-29 11:35:36,
04290010.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida macroura,1,,0,false,false,false,false,false,, 2021-04-29 11:36:38,
04300011.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-04-30 03:58:56,
05020012.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-02 05:15:38,
05020013.JPG,,SC4_24AprTo8Jul,Ok,false,false,Unknown,1,,0,false,false,false,false,false,, 2021-05-02 13:21:26,
05020014.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-02 16:46:05,
05050015.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-05 13:37:36,
05050016.JPG,,SC4_24AprTo8Jul,Ok,false,false,Geococcyx californianus,1,,0,false,false,false,false,false,, 2021-05-05 14:26:35,
05060017.JPG,,SC4_24AprTo8Jul,Ok,true,false,Unknown,1,,0,false,false,false,false,false,, 2021-05-06 21:41:08,
05070018.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-07 10:45:27,
05080019.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-08 00:56:12,
05110020.JPG,,SC4_24AprTo8Jul,Ok,false,false,Pecari tajacu,1,,0,false,false,false,false,false,, 2021-05-11 02:09:12,
05120021.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-12 10:40:52,
05130022.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-13 06:01:19,
05130023.JPG,,SC4_24AprTo8Jul,Ok,false,false,Unknown,1,,0,false,false,false,false,false,"eye in the center, prob rabbit", 2021-05-13 23:21:43,
05130024.JPG,,SC4_24AprTo8Jul,Ok,false,false,Unknown,1,,0,false,false,false,false,false,"eye in the center, prob rabbit", 2021-05-13 23:36:20,
05140025.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-05-14 00:17:17,
05180026.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-18 21:07:51,
05190027.JPG,,SC4_24AprTo8Jul,Ok,false,false,Unknown,1,,0,false,false,false,false,false,furon left side, 2021-05-19 12:08:57,
05200028.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-05-20 04:15:06,
05200029.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-05-20 10:08:50,
05200030.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-05-20 10:26:04,
05200031.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-20 12:51:27,
05210032.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-21 12:29:52,
05210033.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-21 12:47:00,
05210034.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-21 13:25:34,
05210035.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-21 13:26:39,
05210036.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-21 13:55:41,
05220037.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-05-22 05:10:09,
05220038.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-22 13:06:55,
05220039.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-22 14:23:10,
05220040.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-22 15:10:00,
05240041.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,true,false,false,, 2021-05-24 05:43:05,
05240042.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,true,running from dust storm, 2021-05-24 14:48:29,
05240043.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-05-24 20:35:38,
05240044.JPG,,SC4_24AprTo8Jul,Ok,true,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-05-24 20:36:09,
05250045.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-05-25 07:37:33,
05260046.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-05-26 15:26:02,
05260047.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-05-26 17:51:05,
05260048.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-05-26 17:51:37,
05260049.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-05-26 17:52:11,
05260050.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-05-26 17:53:27,
05260051.JPG,,SC4_24AprTo8Jul,Ok,true,true,,0,,0,false,false,false,false,false,, 2021-05-26 17:54:00,
05270005.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-05-27 10:20:16,
05270006.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-27 11:34:18,
05270007.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-27 11:37:33,
05270008.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-27 11:42:01,
05270009.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-27 12:13:11,
05280010.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-28 12:32:24,
05280011.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-28 12:57:56,
05280012.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-28 15:46:25,
05280013.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,bottom left corner, 2021-05-28 16:10:20,
05280014.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-28 16:12:42,
05290015.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,bottom left corner, 2021-05-29 12:19:38,
05290016.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-29 22:45:44,
05300017.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-30 11:57:38,
05300018.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-30 12:19:16,
05300019.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,bottom right corner, 2021-05-30 12:37:43,
05300020.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-05-30 16:19:10,
05300021.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-05-30 16:22:33,
05300022.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-05-30 22:05:05,
05310023.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-05-31 06:28:06,
05310024.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-05-31 15:36:35,
06010025.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-06-01 03:22:15,
06010026.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-01 23:28:15,
06020027.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-06-02 01:52:19,
06020028.JPG,,SC4_24AprTo8Jul,Ok,false,false,Pecari tajacu,1,,0,false,false,false,false,false,, 2021-06-02 03:08:54,
06020029.JPG,,SC4_24AprTo8Jul,Ok,false,false,Xerospermophilus tereticaudus,1,,0,false,false,false,false,false,, 2021-06-02 10:55:50,
06030030.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-06-03 04:11:29,
06040031.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-06-04 00:40:52,
06050032.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-05 16:26:36,
06050033.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-06-05 17:03:18,
06050034.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-06-05 18:25:29,
06070035.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,2,,0,false,false,false,false,false,eye on the right side, 2021-06-07 01:14:59,
06070036.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,2,,0,false,false,false,false,false,, 2021-06-07 03:58:11,
06080037.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,, 2021-06-08 15:26:30,
06090038.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-06-09 11:07:43,
06090039.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-09 12:21:38,
06090040.JPG,,SC4_24AprTo8Jul,Ok,false,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,, 2021-06-09 12:30:36,
06090041.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-09 13:16:38,
06090042.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-09 14:33:48,
06100043.JPG,,SC4_24AprTo8Jul,Ok,false,false,Canis latrans,1,,0,false,false,false,false,false,, 2021-06-10 03:16:06,
06110044.JPG,,SC4_24AprTo8Jul,Ok,false,false,Zenaida macroura,1,,0,false,false,false,false,false,, 2021-06-11 15:50:57,
06120045.JPG,,SC4_24AprTo8Jul,Ok,false,false,Homo sapien,2,,0,false,false,false,false,false,, 2021-06-12 08:22:07,
06120046.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 08:22:40,
06120047.JPG,,SC4_24AprTo8Jul,Ok,true,false,,0,,0,false,false,false,false,false,, 2021-06-12 13:08:59,
