File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note
01110013.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,13:46:56,Ok,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,TRUE,
01110014.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,14:05:41,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01110015.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,14:20:15,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01110016.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,14:30:54,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01110017.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,15:15:59,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01110018.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,15:20:45,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01110019.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,15:58:26,Ok,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01110020.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,11-Jan-21,23:02:51,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120021.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,0:39:01,Ok,FALSE,Canis latrans,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120022.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,5:26:59,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120023.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,5:28:13,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120024.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,5:50:44,Ok,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120025.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,6:17:55,Ok,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120026.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,6:20:25,Ok,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120027.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,6:55:57,Ok,FALSE,Pecari tajacu,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120028.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,7:11:39,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120029.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,7:12:21,Ok,TRUE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120030.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,7:15:44,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120031.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,7:19:20,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120032.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,7:20:04,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120033.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,7:22:52,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120034.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,11:34:37,Ok,FALSE,Passer domesticus,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120035.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,12:56:48,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120036.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,13:01:20,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120037.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,13:06:05,Ok,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
01120038.JPG,SC6_11JanTo14Feb,Santa Cruz Camera 6,12-Jan-21,13:47:25,Ok,FALSE,Sylvilagus audubonii,1,,0,FALSE,FALSE,FALSE,FALSE,FALSE,
