File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
03210001.JPG,,SC6_21MarTo1May, 2021-03-21 09:06:27,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210002.JPG,,SC6_21MarTo1May, 2021-03-21 09:06:47,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210003.JPG,,SC6_21MarTo1May, 2021-03-21 09:09:11,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210004.JPG,,SC6_21MarTo1May, 2021-03-21 09:09:57,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210005.JPG,,SC6_21MarTo1May, 2021-03-21 09:10:27,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210006.JPG,,SC6_21MarTo1May, 2021-03-21 09:10:54,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210007.JPG,,SC6_21MarTo1May, 2021-03-21 09:11:22,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210008.JPG,,SC6_21MarTo1May, 2021-03-21 09:11:49,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210009.JPG,,SC6_21MarTo1May, 2021-03-21 09:12:18,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210010.JPG,,SC6_21MarTo1May, 2021-03-21 09:12:45,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210011.JPG,,SC6_21MarTo1May, 2021-03-21 09:13:13,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210012.JPG,,SC6_21MarTo1May, 2021-03-21 10:41:54,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210013.JPG,,SC6_21MarTo1May, 2021-03-21 10:46:25,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210014.JPG,,SC6_21MarTo1May, 2021-03-21 10:48:49,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210015.JPG,,SC6_21MarTo1May, 2021-03-21 11:04:32,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210016.JPG,,SC6_21MarTo1May, 2021-03-21 11:06:38,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210017.JPG,,SC6_21MarTo1May, 2021-03-21 11:22:00,Ok,FALSE,FALSE,FALSE,Setophaga coronata,0,,0,FALSE,FALSE,FALSE,FALSE,
03210018.JPG,,SC6_21MarTo1May, 2021-03-21 11:38:14,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210019.JPG,,SC6_21MarTo1May, 2021-03-21 11:47:53,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210020.JPG,,SC6_21MarTo1May, 2021-03-21 12:05:47,Ok,FALSE,FALSE,FALSE,Amphispiza bilineata,1,,0,FALSE,FALSE,FALSE,FALSE,
03210021.JPG,,SC6_21MarTo1May, 2021-03-21 12:07:18,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
03210022.JPG,,SC6_21MarTo1May, 2021-03-21 12:12:21,Ok,FALSE,FALSE,FALSE,Melozone aberti,1,,0,FALSE,FALSE,FALSE,FALSE,
03210023.JPG,,SC6_21MarTo1May, 2021-03-21 12:20:46,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210024.JPG,,SC6_21MarTo1May, 2021-03-21 13:04:31,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210025.JPG,,SC6_21MarTo1May, 2021-03-21 14:29:05,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210026.JPG,,SC6_21MarTo1May, 2021-03-21 14:51:33,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210027.JPG,,SC6_21MarTo1May, 2021-03-21 15:06:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210028.JPG,,SC6_21MarTo1May, 2021-03-21 15:48:06,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03210029.JPG,,SC6_21MarTo1May, 2021-03-21 16:09:02,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
03210030.JPG,,SC6_21MarTo1May, 2021-03-21 16:25:50,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03220031.JPG,,SC6_21MarTo1May, 2021-03-22 08:45:53,Ok,FALSE,FALSE,FALSE,Homo sapien,1,,0,FALSE,FALSE,FALSE,FALSE,
03220032.JPG,,SC6_21MarTo1May, 2021-03-22 12:43:01,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
03220033.JPG,,SC6_21MarTo1May, 2021-03-22 12:47:10,Ok,FALSE,FALSE,FALSE,Otospermophilus variegatus,1,,0,FALSE,FALSE,FALSE,FALSE,
03220034.JPG,,SC6_21MarTo1May, 2021-03-22 12:49:36,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03220035.JPG,,SC6_21MarTo1May, 2021-03-22 13:03:17,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
03220036.JPG,,SC6_21MarTo1May, 2021-03-22 13:16:27,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
