File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,species1,species1count,species2,species2count,Flag,Water,OHV,Outreach,CamSetup,Note,
01110001.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:13:54,Ok,false,,0,,0,false,false,false,false,true,,
01110002.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:14:27,Ok,false,,0,,0,false,false,false,false,true,,
01110003.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:15:00,Ok,false,,0,,0,false,false,false,false,true,,
01110004.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:15:34,Ok,false,,0,,0,false,false,false,false,true,,
01110005.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:16:08,Ok,false,,0,,0,false,false,false,false,false,,
01110006.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:16:41,Ok,false,,0,,0,false,false,false,false,true,,
01110007.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,14:17:17,Ok,false,,0,,0,false,false,false,false,true,,
01110008.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,15:47:46,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01110009.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,11-Jan-2021,15:48:53,Ok,true,,0,,0,false,false,false,false,false,,
01120010.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,06:56:34,Ok,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
01120011.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,07:03:28,Ok,true,,0,,0,false,false,false,false,false,,
01120012.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,07:04:01,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01120013.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,08:39:13,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01120014.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,08:40:09,Ok,true,Canis latrans,1,,0,false,false,false,false,false,,
01120015.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,16:39:50,Ok,false,,0,,0,false,false,false,false,false,,
01120016.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,12-Jan-2021,17:58:56,Ok,false,Sylvilagus audubonii,1,,0,false,false,false,false,false,,
01130017.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,13-Jan-2021,06:33:26,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01130018.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,13-Jan-2021,17:23:06,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01140019.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,14-Jan-2021,01:35:47,Ok,false,Pecari tajacu,1,,0,false,false,false,false,false,,
01140020.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,14-Jan-2021,01:43:19,Ok,false,Pecari tajacu,1,,0,false,false,false,false,false,,
01140021.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,14-Jan-2021,01:43:59,Ok,true,Pecari tajacu,1,,0,false,false,false,false,false,,
01140022.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,14-Jan-2021,18:22:17,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01140023.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,14-Jan-2021,18:59:32,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01140024.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,14-Jan-2021,19:03:34,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01150025.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,15-Jan-2021,06:52:32,Ok,false,Canis latrans,1,,0,false,false,false,false,false,,
01150026.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,15-Jan-2021,06:53:05,Ok,true,Canis latrans,1,,0,false,false,false,false,false,,
01150027.JPG,SC7_11JanTo27Feb,Santa Cruz Camera 7,15-Jan-2021,06:53:39,Ok,true,Canis latrans,0,,0,false,false,false,false,false,,
