File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
06130004.JPG,,SC7_13JunTo11Jul, 2021-06-13 09:43:23,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130005.JPG,,SC7_13JunTo11Jul, 2021-06-13 11:11:02,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130006.JPG,,SC7_13JunTo11Jul, 2021-06-13 11:12:22,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130007.JPG,,SC7_13JunTo11Jul, 2021-06-13 11:48:48,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130008.JPG,,SC7_13JunTo11Jul, 2021-06-13 12:02:18,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130009.JPG,,SC7_13JunTo11Jul, 2021-06-13 12:17:44,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130010.JPG,,SC7_13JunTo11Jul, 2021-06-13 12:29:56,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130011.JPG,,SC7_13JunTo11Jul, 2021-06-13 12:31:17,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130012.JPG,,SC7_13JunTo11Jul, 2021-06-13 12:52:34,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130013.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:01:21,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130014.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:05:18,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130015.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:08:04,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130016.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:19:10,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130017.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:23:53,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130018.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:28:33,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
06130019.JPG,,SC7_13JunTo11Jul, 2021-06-13 13:35:44,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
