File,RelativePath,Folder,DateTime,ImageQuality,Flag,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Outreach,Note
04240003.JPG,,SC7_24AprTo24May, 2021-04-24 11:26:34,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240004.JPG,,SC7_24AprTo24May, 2021-04-24 11:27:07,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240005.JPG,,SC7_24AprTo24May, 2021-04-24 11:27:41,Ok,FALSE,TRUE,TRUE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240006.JPG,,SC7_24AprTo24May, 2021-04-24 11:30:39,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240007.JPG,,SC7_24AprTo24May, 2021-04-24 11:36:15,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240008.JPG,,SC7_24AprTo24May, 2021-04-24 11:37:55,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240009.JPG,,SC7_24AprTo24May, 2021-04-24 11:40:16,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240010.JPG,,SC7_24AprTo24May, 2021-04-24 11:41:37,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240011.JPG,,SC7_24AprTo24May, 2021-04-24 11:42:42,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240012.JPG,,SC7_24AprTo24May, 2021-04-24 11:43:20,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240013.JPG,,SC7_24AprTo24May, 2021-04-24 11:44:41,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240014.JPG,,SC7_24AprTo24May, 2021-04-24 11:47:47,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240015.JPG,,SC7_24AprTo24May, 2021-04-24 11:48:22,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240016.JPG,,SC7_24AprTo24May, 2021-04-24 11:50:56,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240017.JPG,,SC7_24AprTo24May, 2021-04-24 11:56:17,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240018.JPG,,SC7_24AprTo24May, 2021-04-24 12:00:18,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240019.JPG,,SC7_24AprTo24May, 2021-04-24 12:03:30,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240020.JPG,,SC7_24AprTo24May, 2021-04-24 12:04:39,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240021.JPG,,SC7_24AprTo24May, 2021-04-24 12:05:56,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240022.JPG,,SC7_24AprTo24May, 2021-04-24 12:07:21,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240023.JPG,,SC7_24AprTo24May, 2021-04-24 12:08:04,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240024.JPG,,SC7_24AprTo24May, 2021-04-24 12:08:41,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240025.JPG,,SC7_24AprTo24May, 2021-04-24 12:09:17,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240026.JPG,,SC7_24AprTo24May, 2021-04-24 12:10:15,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240027.JPG,,SC7_24AprTo24May, 2021-04-24 12:10:51,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240028.JPG,,SC7_24AprTo24May, 2021-04-24 12:11:25,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240029.JPG,,SC7_24AprTo24May, 2021-04-24 12:12:05,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240030.JPG,,SC7_24AprTo24May, 2021-04-24 12:12:47,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240031.JPG,,SC7_24AprTo24May, 2021-04-24 12:13:25,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240032.JPG,,SC7_24AprTo24May, 2021-04-24 12:14:09,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240033.JPG,,SC7_24AprTo24May, 2021-04-24 12:14:47,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240034.JPG,,SC7_24AprTo24May, 2021-04-24 12:15:22,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240035.JPG,,SC7_24AprTo24May, 2021-04-24 12:17:00,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240036.JPG,,SC7_24AprTo24May, 2021-04-24 12:17:44,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240037.JPG,,SC7_24AprTo24May, 2021-04-24 12:18:21,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240038.JPG,,SC7_24AprTo24May, 2021-04-24 12:19:07,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240039.JPG,,SC7_24AprTo24May, 2021-04-24 12:21:29,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
04240040.JPG,,SC7_24AprTo24May, 2021-04-24 12:25:36,Ok,FALSE,TRUE,FALSE,,0,,0,FALSE,FALSE,FALSE,FALSE,
