File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,CamSetup,species1,species1count,species2,species2count,Water,OHV,Mange,Flag,Outreach,Note,
06130004.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:11:55,Ok,true,false,,0,,0,false,false,false,false,false,,
06130005.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:12:53,Ok,true,false,,0,,0,false,false,false,false,false,,
06130006.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:13:50,Ok,true,false,,0,,0,false,false,false,false,false,,
06130007.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:28:26,Ok,true,false,,0,,0,false,false,false,false,false,,
06130008.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:44:28,Ok,true,false,,0,,0,false,false,false,false,false,,
06130009.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:45:47,Ok,true,false,,0,,0,false,false,false,false,false,,
06130010.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:47:15,Ok,true,false,,0,,0,false,false,false,false,false,,
06130011.JPG,,SC8_13JunTo11Jul,13-Jun-2021,10:57:39,Ok,true,false,,0,,0,false,false,false,false,false,,
06130012.JPG,,SC8_13JunTo11Jul,13-Jun-2021,11:14:02,Ok,true,false,,0,,0,false,false,false,false,false,,
06130013.JPG,,SC8_13JunTo11Jul,13-Jun-2021,11:20:56,Ok,true,false,,0,,0,false,false,false,false,false,,
06130014.JPG,,SC8_13JunTo11Jul,13-Jun-2021,11:53:12,Ok,true,false,,0,,0,false,false,false,false,false,,
06130015.JPG,,SC8_13JunTo11Jul,13-Jun-2021,13:07:23,Ok,true,false,,0,,0,false,false,false,false,false,,
06130016.JPG,,SC8_13JunTo11Jul,13-Jun-2021,23:33:45,Ok,false,false,Pecari tajacu,1,,0,false,false,false,false,false,,
06140017.JPG,,SC8_13JunTo11Jul,14-Jun-2021,08:23:33,Ok,false,false,Homo sapien,1,,0,false,false,false,false,false,,
06140018.JPG,,SC8_13JunTo11Jul,14-Jun-2021,09:51:44,Ok,true,false,,0,,0,false,false,false,false,false,,
06140019.JPG,,SC8_13JunTo11Jul,14-Jun-2021,10:15:27,Ok,false,false,,0,,0,false,true,false,false,false,,
