homo_sapien,canis_familiaris,felis_catus,canis_latrans,geococcyx_californianus,pecari_tajacu,spermophilus_tereticaudus,sylvilagus_audubonii,lepus_californicus,haemorhous_mexicanus,lynx_rufus,procyon_lotor,equs_caballus,pipilo_aberti,otospermophilus_variegatus,spilogale_putorius,butorides_virescens,zonotrichia_leucophrys,ardea_herodias,anas_platyrhynchos,sayornis_nigricans,accipiter_cooperii,neotoma_sp,junco_hyemalis,campylorhynchus_brunneicapillus
3,0,0,18,0,0,0,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,1,103,3,2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,1,21,1,2,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,10,0,41,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
114,16,0,40,8,4,0,55,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,2,2,0,10,0,67,0,0,4,0,0,8,32,0,0,2,0,0,1,0,1,1,0
31,6,3,85,27,13,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,2,0,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6,0,12,0,21,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,83,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
6,1,0,4,0,12,0,0,0,0,4,10,0,0,0,2,0,0,0,0,0,0,0,0,0
104,339,0,9,0,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,22,0,17,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,3,0,0,0
44,24,0,3,0,0,0,173,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
