Camera.trap.days	species	sd
1	1	0.56	0.700937323384289
2	2	1.04	0.851854779675835
3	3	1.6	1.05409255338946
4	4	2.09	1.19844174921547
5	5	2.57	1.34280725092297
6	6	2.98	1.51744069492889
7	7	3.29	1.62862648953781
8	8	3.8	1.55049682490497
9	9	4.06	1.54932373647474
10	10	4.32	1.54318311985783
11	11	4.7	1.56023826204315
12	12	5.03	1.57925311588751
13	13	5.24	1.63373526285347
14	14	5.4	1.59544807043493
15	15	5.68	1.59468815228254
16	16	5.92	1.58069157604697
17	17	6.21	1.67751018001096
18	18	6.41	1.7061682510849
19	19	6.6	1.6575508280215
20	20	6.76	1.65217946049967
21	21	6.91	1.68831396381243
22	22	7.13	1.6856794332005
23	23	7.3	1.67271629333243
24	24	7.44	1.67766070900688
25	25	7.67	1.76986560010195
26	26	7.77	1.81939605919163
27	27	7.97	1.8392741212036
28	28	8.15	1.82781538753483
29	29	8.32	1.78591571735481
30	30	8.39	1.7746531884833
31	31	8.55	1.79997194141992
32	32	8.65	1.84978841268864
33	33	8.79	1.79390100286521
34	34	8.96	1.7917882270249
35	35	9.14	1.82031188358901
36	36	9.19	1.82405364975149
37	37	9.3	1.85047086554812
38	38	9.46	1.84456613934666
39	39	9.53	1.8004208262279
40	40	9.66	1.73624464132951
41	41	9.74	1.70335379220353
42	42	9.86	1.72339809971492
43	43	9.99	1.81739629495861
44	44	10.07	1.84913302098387
45	45	10.21	1.86024327723689
46	46	10.35	1.88226706206354
47	47	10.5	1.88829461834126
48	48	10.57	1.92408970999827
49	49	10.69	1.91588258006749
50	50	10.76	1.91284863462583
51	51	10.89	1.94310487767814
52	52	11.03	1.91988530802223
53	53	11.14	1.91759529546036
54	54	11.21	1.91904332226432
55	55	11.24	1.94946250038415
56	56	11.34	1.98590996367871
57	57	11.46	1.87713514794123
58	58	11.54	1.90385043126987
59	59	11.59	1.93372514316097
60	60	11.65	1.97650339148853
61	61	11.7	1.98733362812965
62	62	11.81	1.9524395514382
63	63	11.83	1.95946292373572
64	64	11.94	1.96340253003542
65	65	11.99	1.946221410266
66	66	12.06	1.97366500079257
67	67	12.11	2.00451510547584
68	68	12.17	2.07950557449203
69	69	12.27	2.0442330808616
70	70	12.33	2.02536940139847
71	71	12.39	2.02457128520803
72	72	12.49	2.03750193654243
73	73	12.52	2.05224685935127
