Deployment.Location.ID,Alces.alces,Canis.latrans,Canis.lupus,Cervus.canadensis,Grus.canadensis,Lepus.americanus,Lynx.canadensis,Martes.americana,Odocoileus.virginianus,Rangifer.tarandus,Tamiasciurus.hudsonicus,Ursus.americanus
Algar08,5,0,1,0,0,1,0,0,2,1,0,0
Algar27,1,3,4,1,0,0,4,0,1,0,0,0
Algar29,7,0,1,0,13,0,1,0,24,0,0,7
Algar31,3,0,6,0,13,1,0,4,1,15,0,2
Algar32,1,0,0,0,3,0,1,0,1,2,0,0
Algar34,1,0,0,0,0,0,4,0,3,0,0,0
Algar35,7,0,0,0,9,6,1,0,1,4,3,2
Algar37,0,0,0,0,43,0,0,0,0,3,0,2
Algar38,0,0,0,0,23,0,0,1,0,9,0,0
Algar39,1,0,5,0,6,0,0,0,0,4,0,3
Algar61,0,0,0,0,0,0,0,2,34,0,0,1
Algar62,0,0,3,0,0,1,1,0,36,0,0,6
Algar63,0,0,1,0,0,1,0,1,22,2,0,0
Algar64,2,0,0,0,1,0,0,0,0,8,0,0
Algar65,24,0,0,0,1,0,0,1,0,0,0,0
Algar66,0,0,0,0,2,0,0,0,1,2,0,0
Algar67,2,0,1,0,14,0,0,0,3,0,0,0
Algar68,2,0,0,0,3,0,0,0,0,0,0,1
Algar69,5,0,0,0,0,0,4,0,49,0,0,18
Algar70,1,0,0,0,3,0,0,1,4,3,0,1
