Sampling.Unit.Name	Start.Date	End.Date	ndays
CT-UDZ-1-01	2009-07-27	2009-08-28	32
CT-UDZ-1-02	2009-07-25	2009-08-28	34
CT-UDZ-1-03	2009-07-26	2009-08-28	33
CT-UDZ-1-04	2009-07-24	2009-08-30	37
CT-UDZ-1-05	2009-07-27	2009-08-30	34
CT-UDZ-1-06	2009-07-28	2009-08-31	34
CT-UDZ-1-07	2009-07-25	2009-08-28	34
CT-UDZ-1-08	2009-07-25	2009-08-28	34
CT-UDZ-1-09	2009-07-28	2009-08-31	34
CT-UDZ-1-10	2009-07-28	2009-08-31	34
CT-UDZ-1-11	2009-07-29	2009-08-31	33
CT-UDZ-1-13	2009-07-31	2009-09-02	33
CT-UDZ-1-14	2009-08-01	2009-09-03	33
CT-UDZ-1-15	2009-08-02	2009-09-04	33
CT-UDZ-1-16	2009-08-03	2009-09-04	32
CT-UDZ-1-17	2009-07-31	2009-09-03	34
CT-UDZ-1-18	2009-08-02	2009-09-02	31
CT-UDZ-1-19	2009-07-31	2009-09-02	33
CT-UDZ-1-20	2009-07-30	2009-08-06	7
CT-UDZ-2-01	2009-09-16	2009-10-17	31
CT-UDZ-2-02	2009-09-16	2009-10-17	31
CT-UDZ-2-03	2009-09-09	2009-10-10	31
CT-UDZ-2-04	2009-09-09	2009-10-10	31
CT-UDZ-2-05	2009-09-15	2009-10-16	31
CT-UDZ-2-06	2009-09-15	2009-10-16	31
CT-UDZ-2-07	2009-09-15	2009-10-16	31
CT-UDZ-2-08	2009-09-09	2009-10-10	31
CT-UDZ-2-09	2009-09-08	2009-10-10	32
CT-UDZ-2-10	2009-09-07	2009-10-09	32
CT-UDZ-2-11	2009-09-14	2009-10-15	31
CT-UDZ-2-12	2009-09-14	2009-10-15	31
CT-UDZ-2-13	2009-09-13	2009-10-14	31
CT-UDZ-2-14	2009-09-10	2009-10-12	32
CT-UDZ-2-15	2009-09-08	2009-10-09	31
CT-UDZ-2-16	2009-09-07	2009-10-09	32
CT-UDZ-2-17	2009-09-13	2009-10-14	31
CT-UDZ-2-18	2009-09-13	2009-10-14	31
CT-UDZ-2-19	2009-09-12	2009-10-13	31
CT-UDZ-2-20	2009-09-10	2009-10-12	32
CT-UDZ-3-01	2009-10-28	2009-12-04	37
CT-UDZ-3-02	2009-10-28	2009-12-04	37
CT-UDZ-3-03	2009-10-28	2009-12-04	37
CT-UDZ-3-04	2009-10-30	2009-11-29	30
CT-UDZ-3-05	2009-11-01	2009-12-01	30
CT-UDZ-3-06	2009-10-31	2009-11-30	30
CT-UDZ-3-07	2009-11-03	2009-12-03	30
CT-UDZ-3-08	2009-11-02	2009-12-02	30
CT-UDZ-3-09	2009-10-26	2009-11-26	31
CT-UDZ-3-10	2009-10-30	2009-11-21	22
CT-UDZ-3-11	2009-11-01	2009-12-01	30
CT-UDZ-3-12	2009-11-02	2009-12-02	30
CT-UDZ-3-14	2009-10-31	2009-11-30	30
CT-UDZ-3-15	2009-10-30	2009-11-29	30
CT-UDZ-3-16	2009-11-02	2009-12-02	30
CT-UDZ-3-17	2009-10-27	2009-11-26	30
CT-UDZ-3-18	2009-10-31	2009-11-30	30
CT-UDZ-3-19	2009-10-31	2009-11-30	30
CT-UDZ-3-20	2009-11-02	2009-12-02	30
