value	Atilax.paludinosus	Bdeogale.crassicauda	Cephalophus.harveyi	Cephalophus.spadix	Cercocebus.sanjei	Cercopithecus.mitis	Civettictis.civetta	Colobus.angolensis	Cricetomys.gambianus	Dendrohyrax.arboreus	Genetta.servalina	Hystrix.africaeaustralis	Loxodonta.africana	Mellivora.capensis	Mungos.mungo	Nandinia.binotata	Nesotragus.moschatus	Panthera.pardus	Papio.cynocephalus	Paraxerus.vexillarius	Petrodromus.tetradactylus	Potamochoerus.larvatus	Procolobus.gordonorum	Rhynchocyon.cirnei	Rhynchocyon.udzungwensis	Syncerus.caffer
00:00:00	0	9	8	0	0	0	0	0	23	2	3	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0
01:00:00	0	13	11	2	1	0	0	0	12	4	1	1	0	0	0	0	4	0	0	0	1	0	0	0	1	0
02:00:00	0	19	4	1	0	0	0	0	27	1	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0
03:00:00	0	9	5	1	0	0	0	0	36	2	1	0	0	0	0	0	7	0	0	0	1	1	0	0	0	0
04:00:00	1	9	3	0	1	0	0	0	36	3	2	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0
05:00:00	1	8	4	4	0	0	0	0	13	3	1	2	1	0	0	0	6	0	0	1	1	0	0	0	0	1
06:00:00	0	0	32	4	3	0	0	0	7	1	0	1	0	0	0	0	2	1	0	4	0	0	0	1	8	0
07:00:00	0	0	39	5	9	2	0	0	1	0	0	0	1	1	0	0	7	1	0	3	0	1	0	1	10	0
08:00:00	0	0	26	9	6	3	0	0	3	0	0	1	0	0	0	0	1	2	0	5	0	2	0	3	6	0
09:00:00	0	0	16	1	4	2	0	0	0	0	0	0	0	0	0	0	6	0	1	3	0	0	3	0	3	1
10:00:00	0	0	15	5	4	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	2	0
11:00:00	0	0	13	2	8	3	0	0	0	0	0	0	0	0	1	0	5	0	1	4	0	0	1	0	2	0
12:00:00	0	0	19	2	11	3	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0
13:00:00	0	0	30	3	5	1	0	1	0	0	0	0	1	1	0	0	3	0	0	4	0	0	0	0	3	1
14:00:00	0	0	23	1	4	0	0	0	1	1	0	0	1	2	1	0	6	0	0	4	0	0	0	0	2	0
15:00:00	0	1	24	3	8	2	0	0	1	0	1	0	1	1	0	0	4	1	0	2	0	0	1	0	2	0
16:00:00	0	0	31	1	5	2	0	0	2	0	0	0	2	1	0	0	8	0	0	5	0	1	0	0	3	0
17:00:00	0	1	32	1	7	4	0	0	0	0	0	0	1	1	0	0	1	1	0	4	0	0	0	0	3	0
18:00:00	1	4	37	4	1	0	0	0	5	0	1	0	1	0	0	0	17	0	0	0	0	2	0	0	1	0
19:00:00	0	11	4	3	0	0	0	0	45	0	2	0	0	0	0	1	5	0	0	1	0	3	0	0	0	0
20:00:00	0	12	3	0	0	0	0	0	34	1	1	1	0	0	0	0	8	0	0	0	0	1	0	0	0	1
21:00:00	0	16	1	3	0	0	0	0	23	0	2	2	0	0	0	0	5	0	0	1	0	3	0	0	0	0
22:00:00	0	11	2	2	1	0	0	0	13	2	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
23:00:00	0	8	6	3	1	0	1	0	22	2	1	1	1	0	0	1	2	0	0	0	0	3	0	0	0	0
