cleta_eckloni,pseudambonea_capeni_schuhistes_lekkersingia,acanthocoris_spinosus,antestiopsis_thunbergii,cassida_distinguenda,epilachna_sp_1,cleta_sp_1,cleta_sp_2,exochomus_flavipes,scymnus_sp,cheilomenes_lunata,cheilomenes_sulphurea,cf_nephus_sp,chnootriba_sp,oenopia_cinctella,hippodamia_variegate,cassida_melanophthalma,cassida_reticulipennis,macetes_sp,cryptocephalus_nr_liturellus,epitrix_sp,chrysomelidae_sp,sulcobruchus_longipennis,monolepta_bioculata,eurytomidae_sp,pachycnema_sp,scarabaeidae_sp,neoplatygaster_serieturberculata,sciobius_sp,lixini_sp,beaufortiana_cornuta,pentatomidae_sp,apalochrus_sp,hylomela_sexpunctata,anthripidae_sp,cenaeus_carnifex,thrips_simplex,ceratitis_sp,brachymeria_sp,syrphidae_sp,cicadidae_sp,apis_mellifera,pteromalidae_sp,chrysopidae_sp,pamphagidae_sp,amphipsocidae_sp,diptera_sp,hymenoptera_sp,decapotoma_lunata,pyrrhocordae_sp_1,mylabris_oculata
23,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,28,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
